City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
267,Almaty,KZ,43.25,76.95,73.31,41,40,6.71,scattered clouds
268,Bodden Town,KY,19.2833,-81.25,84.2,88,20,1.01,few clouds
269,Nantucket,US,41.2835,-70.0995,69.96,80,37,16.2,scattered clouds
270,Airai,TL,-8.9266,125.4092,77.32,39,2,3.94,clear sky
271,Torbay,CA,47.6666,-52.7314,61.75,98,90,23.02,moderate rain
272,Lamar,US,33.6668,-95.5836,85.66,78,1,4.61,clear sky
273,Aksarka,RU,66.5606,67.7975,51.44,81,100,9.08,overcast clouds
274,Nuuk,GL,64.1835,-51.7216,47.88,81,61,8.01,broken clouds
275,Faanui,PF,-16.4833,-151.75,77.76,72,35,17.4,scattered clouds
276,Piopio,NZ,-38.4667,175.0167,61.43,65,58,3.51,broken clouds
277,Ancud,CL,-41.8697,-73.8203,35.13,84,5,4.68,clear sky
278,Chabahar,IR,25.2919,60.643,85.21,80,51,12.12,broken clouds
279,Sinnamary,GF,5.3833,-52.95,77.63,84,7,4.97,clear sky
280,Mahajanga,MG,-15.7167,46.3167,66.22,63,20,8.05,few clouds
281,Samarai,PG,-10.6167,150.6667,80.38,73,83,19.57,broken clouds
282,Flinders,AU,-34.5833,150.8552,71.06,43,38,13.96,scattered clouds
283,Boende,CD,-0.2167,20.8667,76.03,62,74,2.82,broken clouds
284,Atambua,ID,-9.1061,124.8925,84.65,49,3,2.8,clear sky
285,Santona,ES,43.4439,-3.4576,59.59,87,100,6.44,overcast clouds
286,Verkhnyaya Inta,RU,65.9811,60.3094,52.88,67,28,8.03,scattered clouds
287,Durban,ZA,-29.8579,31.0292,56.01,93,1,1.99,clear sky
288,Yarim,YE,14.298,44.3779,59.72,73,73,2.77,broken clouds
289,Saint Anthony,US,45.0205,-93.218,70.75,79,1,1.99,haze
290,Havelock,US,34.8791,-76.9013,82.94,92,1,4.0,clear sky
291,Lahij,YE,13.1667,44.5833,77.99,71,86,3.38,overcast clouds
292,Honiara,SB,-9.4333,159.95,82.0,80,91,1.28,overcast clouds
293,Mayna,RU,54.1135,47.6231,67.06,88,80,11.1,light rain
294,Natal,BR,-5.795,-35.2094,75.85,88,40,9.22,scattered clouds
295,Zhanaozen,KZ,43.3,52.8,83.7,22,0,9.31,clear sky
296,Zalegoshch,RU,52.9008,36.8869,65.89,74,11,8.21,few clouds
297,Kirakira,SB,-10.4544,161.9205,80.44,79,85,8.7,overcast clouds
298,Inuvik,CA,68.3499,-133.7218,74.26,41,75,10.36,broken clouds
299,Evensk,RU,61.95,159.2333,57.47,49,5,8.59,clear sky
300,Roald,NO,62.5833,6.1333,55.17,87,90,3.44,overcast clouds
301,Mount Gambier,AU,-37.8333,140.7667,51.71,100,90,14.97,shower rain
302,Omboue,GA,-1.5746,9.2618,73.94,83,76,7.58,broken clouds
303,Monteiro,BR,-7.8894,-37.12,61.54,93,92,8.41,overcast clouds
304,Largo,US,27.9095,-82.7873,84.94,80,40,1.99,scattered clouds
305,Xochitlan,MX,18.7,-97.7833,58.1,82,73,7.61,broken clouds
306,San Patricio,US,28.017,-97.5169,84.85,73,17,10.98,few clouds
307,Saint-Georges,GD,12.0564,-61.7485,80.28,89,20,2.3,few clouds
308,Humberto De Campos,BR,-2.5983,-43.4611,75.97,94,57,4.97,broken clouds
309,Fukue,JP,32.6881,128.8419,88.16,79,75,11.5,light rain
310,Gizo,SB,-8.103,156.8419,82.08,78,53,15.19,light rain
311,Bac Lieu,VN,9.285,105.7244,86.45,66,100,15.17,overcast clouds
312,Hastings,GB,50.8552,0.5729,58.91,93,56,11.86,broken clouds
313,Impfondo,CG,1.6381,18.0667,71.53,84,50,2.8,scattered clouds
314,Sakakah,SA,29.9697,40.2064,80.17,29,0,7.4,clear sky
315,Taganak,PH,6.0833,118.3,89.74,73,51,4.45,broken clouds
316,Lima,PE,-12.0432,-77.0282,59.9,88,90,11.5,overcast clouds
317,Narsimhapur,IN,22.95,79.2,75.87,91,100,16.26,overcast clouds
318,Ca Mau,VN,9.1769,105.15,81.45,85,100,6.24,overcast clouds
319,Nabire,ID,-3.3667,135.4833,84.81,64,83,4.32,broken clouds
320,Argelia,CO,2.2556,-77.2488,64.4,84,97,0.69,overcast clouds
321,Jumla,NP,29.2747,82.1838,73.13,70,75,3.98,broken clouds
322,Hithadhoo,MV,-0.6,73.0833,81.39,73,48,3.51,scattered clouds
323,Necochea,AR,-38.5473,-58.7368,45.03,55,2,15.01,clear sky
324,Srednekolymsk,RU,67.45,153.6833,54.54,49,100,16.46,overcast clouds
325,Port Hedland,AU,-20.3167,118.5667,78.85,44,90,10.36,overcast clouds
326,Suntar,RU,62.1444,117.6319,79.57,26,15,4.45,few clouds
327,Hami,CN,42.8,93.45,90.52,20,100,8.08,overcast clouds
328,Waipawa,NZ,-41.4122,175.5153,57.94,77,2,7.9,clear sky
329,Luebo,CD,-5.35,21.4167,76.68,34,91,1.61,overcast clouds
330,Kerema,PG,-7.9631,145.7785,80.87,82,96,8.14,overcast clouds
331,Kharitonovo,RU,61.4009,47.4978,62.89,92,97,4.76,moderate rain
332,Santiago,CL,-33.4569,-70.6483,56.17,56,20,2.3,mist
333,San Juan,AR,-31.5375,-68.5364,52.07,22,0,3.85,clear sky
334,Khandyga,RU,62.6667,135.6,76.17,26,7,3.76,clear sky
335,Puerto Suarez,BO,-18.95,-57.8,57.67,22,54,2.28,broken clouds
336,Baruun-Urt,MN,46.6806,113.2792,54.86,89,100,22.19,moderate rain
337,Mama,RU,58.3106,112.8986,77.05,31,3,14.92,clear sky
