City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
611,Invermere,CA,76.03,clear sky,50.5167,-116.0354,Copper Point Resort
620,Lazaro Cardenas,MX,75.58,overcast clouds,17.9583,-102.2,quinta antigua
622,Kapit,MY,89.53,light rain,2.0167,112.9333,Hotel Meligai Kapit
623,Lincoln,US,79.14,broken clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
625,Juybar,IR,77.65,overcast clouds,36.6412,52.9124,مجتمع مسکونی آرامیس ۲
627,Pasighat,IN,86.29,broken clouds,28.0667,95.3333,Siang Guest House
632,Verkhnevilyuysk,RU,80.15,broken clouds,63.4453,120.3167,Gostinitsa Mila
635,Umarkot,PK,87.57,overcast clouds,25.3616,69.7362,Al-Qamar Boys Hostel
637,Mayo,US,77.11,scattered clouds,38.8876,-76.5119,Resorts Resource Group International
641,Mangrol,IN,82.94,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
642,Hambantota,LK,86.34,clear sky,6.1241,81.1185,Bungalow 63
643,Djibo,BF,84.83,overcast clouds,14.1022,-1.6306,Centre Des Ressources DPENA
645,Praya,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
648,Sabirabad,AZ,78.73,few clouds,40.0095,48.4752,Mugan Park Hotel
652,Iwanai,JP,85.33,clear sky,42.9744,140.5089,いわない高原ホテル
653,Kattivakkam,IN,89.69,broken clouds,13.2167,80.3167,Euronova Freezer
657,Ranong,TH,81.28,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
658,Gorontalo,ID,86.31,few clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
661,Karratha,AU,76.01,broken clouds,-20.7377,116.8463,ibis Styles Karratha
662,Atar,MR,87.78,scattered clouds,20.5169,-13.0499,Oumou Elghoura
666,Acarau,BR,78.35,overcast clouds,-2.8856,-40.12,castelo pizzaria
668,Mehriz,IR,84.7,broken clouds,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
671,Muroto,JP,83.35,broken clouds,33.2833,134.15,Oota Ryokan
673,Bubaque,GW,78.04,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
678,Bilma,NE,89.82,few clouds,18.6853,12.9164,Expeditions Ténére voyages
682,Delijan,IR,80.29,broken clouds,33.9905,50.6838,ایزوگام آسیاگستردلیجان
683,Buala,SB,82.65,light rain,-8.145,159.5921,Maringe Lagoon Lodge
685,Dhidhdhoo,MV,82.49,scattered clouds,6.8833,73.1,Dhidhoo beach
686,Portland,US,88.66,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
688,Mawlaik,MM,79.97,moderate rain,23.6333,94.4167,AKZ Guest House
689,Tateyama,JP,86.05,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
691,Alappuzha,IN,81.54,clear sky,9.49,76.3264,Panoramic Sea Resort
692,Aswan,EG,86.2,few clouds,24.0934,32.907,Nuba Nile
693,Dodge City,US,82.63,clear sky,37.7528,-100.0171,Windsor Inn & Suites
700,Joshimath,IN,76.69,broken clouds,30.5667,79.5667,Shivalik Camps & Resort
701,Eyl,SO,77.4,overcast clouds,7.9803,49.8164,Amiin Hotel
706,Pyay,MM,87.42,broken clouds,18.8167,95.2167,Shwe Pyi Thar
707,Artyom,AZ,78.94,overcast clouds,40.4723,50.333,Merdan Respect
710,Maine-Soroa,NE,77.32,broken clouds,13.2114,12.0241,Complexe
